#OTU ID	SF1_B1_T0_R1_001.fastq	SF1_B1_T0_Root_R1_001.fastq	SF1_B1_T4_R1_001.fastq	SF1_B1_T4_Root_R1_001.fastq	SF1_B2_T0_R1_001.fastq	SF1_B2_T0_Root_R1_001.fastq	SF1_B2_T4_R1_001.fastq	SF1_B2_T4_Root_R1_001.fastq	SF1_B3_T0_R1_001.fastq	SF1_B3_T0_Root_R1_001.fastq	SF1_B3_T4_Root_R1_001.fastq	SF1_B4_T0_R1_001.fastq	SF1_B4_T0_Root_R1_001.fastq	SF1_B4_T4_R1_001.fastq	SF1_B4_T4_Root_R1_001.fastq	SF2_B1_T0_R1_001.fastq	SF2_B1_T4_R1_001.fastq	SF2_B1_T4_Root_R1_001.fastq	SF2_B2_T0_R1_001.fastq	SF2_B2_T4_R1_001.fastq	SF2_B2_T4_Root_R1_001.fastq	SF2_B3_T0_R1_001.fastq	SF2_B3_T4_R1_001.fastq	SF2_B3_T4_Root_R1_001.fastq	SF2_B4_T0_R1_001.fastq	SF2_B4_T4_R1_001.fastq	SF2_B4_T4_Root_R1_001.fastq	SF3_B1_T0_R1_001.fastq	SF3_B1_T0_Root_R1_001.fastq	SF3_B1_T4_R1_001.fastq	SF3_B1_T4_Root_R1_001.fastq	SF3_B2_T0_R1_001.fastq	SF3_B2_T0_Root_R1_001.fastq	SF3_B2_T4_R1_001.fastq	SF3_B2_T4_Root_R1_001.fastq	SF3_B3_T0_R1_001.fastq	SF3_B3_T0_Root_R1_001.fastq	SF3_B3_T4_R1_001.fastq	SF3_B3_T4_Root_R1_001.fastq	SF3_B4_T0_R1_001.fastq	SF3_B4_T0_Root_R1_001.fastq	SF3_B4_T4_R1_001.fastq	SF3_B4_T4_Root_R1_001.fastq	SF4_B1_T0_R1_001.fastq	SF4_B1_T4_R1_001.fastq	SF4_B1_T4_Root_R1_001.fastq	SF4_B2_T0_R1_001.fastq	SF4_B2_T4_R1_001.fastq	SF4_B2_T4_Root_R1_001.fastq	SF4_B3_T0_R1_001.fastq	SF4_B3_T4_R1_001.fastq	SF4_B3_T4_Root_R1_001.fastq	Sf4_B4_T0_R1_001.fastq	SF4_B4_T4_R1_001.fastq	SF4_B4_T4_Root_R1_001.fastq	SF6_B1_T0_R1_001.fastq	SF6_B1_T4_R1_001.fastq	SF6_B1_T4_Root_R1_001.fastq	SF6_B2_T0_R1_001.fastq	SF6_B2_T4_R1_001.fastq	SF6_B2_T4_Root_R1_001.fastq	SF6_B3_T0_R1_001.fastq	SF6_B3_T4_R1_001.fastq	SF6_B3_T4_Root_R1_001.fastq	SF6_B4_T0_R1_001.fastq	SF6_B4_T4_R1_001.fastq	SF6_B4_T4_Root_R1_001.fastq	SF8_B1_T0_R1_001.fastq	SF8_B1_T0_Root_R1_001.fastq	SF8_B1_T4_R1_001.fastq	SF8_B1_T4_Root_R1_001.fastq	SF8_B2_T0_R1_001.fastq	SF8_B2_T0_Root_R1_001.fastq	SF8_B2_T4_R1_001.fastq	SF8_B2_T4_Root_R1_001.fastq	SF8_B3_T0_R1_001.fastq	SF8_B3_T0_Root_R1_001.fastq	SF8_B3_T4_R1_001.fastq	SF8_B3_T4_Root_R1_001.fastq	SF8_B4_T0_R1_001.fastq	SF8_B4_T0_Root_R1_001.fastq	SF8_B4_T4_R1_001.fastq	SF8_B4_T4_Root_R1_001.fastq
M02808:184:000000000-LYVHM:1:2103:20115:12928	22	151	0	55	22	54	39	65	64	25	76	253	31	220	118	0	79	83	161	63	79	146	1055	66	685	78	121	327	35	53	137	180	57	102	63	329	86	1141	49	363	600	474	95	108	78	55	82	1	165	281	66	70	123	172	54	30	4	69	136	43	49	35	121	72	34	17	68	0	91	0	117	104	72	0	34	0	75	0	62	29	67	44	77
M02808:184:000000000-LYVHM:1:1111:14149:23802	370	154	638	196	460	163	282	211	665	116	286	171	203	148	367	311	489	570	485	684	178	458	560	158	273	106	679	534	191	426	304	465	156	241	185	324	347	495	203	509	241	396	161	236	311	169	102	5	456	359	290	197	316	195	200	63	20	161	92	209	101	98	297	177	63	61	126	40	215	0	198	0	157	2	176	7	153	1	195	28	383	131	125
M02808:184:000000000-LYVHM:1:1113:7219:21383	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1101:9112:9192	23	0	0	3	4	0	2	3	0	2	0	12	0	14	0	0	0	0	9	0	0	2	2	0	3	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1113:28072:16370	26	1	34	1	33	12	7	3	11	0	0	29	10	2	4	22	11	4	9	14	2	20	26	0	16	6	0	6	0	7	17	28	4	11	0	11	3	21	2	13	5	6	9	7	5	0	5	0	5	5	6	3	9	0	0	0	0	5	9	3	1	5	3	4	5	0	0	0	1	0	2	0	5	0	0	0	0	0	1	0	2	1	4
M02808:184:000000000-LYVHM:1:1101:22998:15741	31	72	0	227	80	254	55	111	63	57	167	3	161	85	112	31	29	161	19	0	20	27	0	20	21	71	224	87	170	7	290	85	76	211	168	14	69	0	8	4	326	4	200	45	53	34	27	2	253	2	67	143	3	99	269	13	11	167	46	19	125	0	98	191	63	37	96	0	98	100	127	133	157	168	201	4	292	0	157	0	26	81	300
M02808:184:000000000-LYVHM:1:2112:27613:15078	21	27	0	64	1	30	17	22	35	73	31	2	3	39	13	3	0	48	20	0	56	9	16	23	4	3	8	7	35	0	23	13	94	0	47	9	40	5	44	0	70	0	13	0	0	33	7	0	20	10	6	29	7	38	35	11	0	13	0	17	87	0	3	35	0	4	7	0	17	0	17	0	11	0	6	0	27	0	32	0	44	19	9
M02808:184:000000000-LYVHM:1:2107:18289:7556	130	28	29	64	42	96	230	229	80	153	268	139	143	35	166	0	55	138	201	142	144	74	43	151	191	16	84	148	17	159	67	119	282	336	80	69	263	136	172	61	57	53	218	81	74	58	67	0	514	23	149	36	67	16	80	93	2	51	114	71	254	137	241	135	86	145	107	35	133	34	73	0	101	35	149	24	144	0	189	38	213	205	18
M02808:184:000000000-LYVHM:1:1105:24520:7009	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
M02808:184:000000000-LYVHM:1:1105:11649:25725	159	37	373	40	161	28	41	24	101	24	35	106	45	22	42	168	308	68	241	522	25	158	187	37	108	24	98	309	44	247	57	174	36	101	20	88	57	226	32	132	89	190	52	220	112	22	86	1	39	152	61	35	236	43	28	39	3	17	38	34	29	35	65	26	42	9	22	15	45	5	66	0	34	0	37	2	29	0	28	9	45	24	8
M02808:184:000000000-LYVHM:1:2105:5833:11155	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1114:8679:18606	29	0	23	1	5	0	69	0	7	0	0	34	0	167	52	5	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	21	0	0	35	0	3	13	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	8	0	0
M02808:184:000000000-LYVHM:1:1112:23627:13017	8	22	0	52	0	22	0	87	22	16	33	41	37	8	74	0	0	19	12	30	0	3	5	49	26	0	12	0	56	0	0	0	17	13	34	0	46	0	45	0	41	11	24	0	0	62	0	0	166	0	13	0	0	80	20	0	0	24	0	35	111	0	0	0	0	0	9	0	0	0	19	0	11	0	27	0	55	0	119	0	0	0	13
M02808:184:000000000-LYVHM:1:1104:6630:20858	7	326	223	365	0	269	204	428	88	220	373	65	282	118	460	0	77	353	63	404	107	61	46	318	11	70	208	116	527	217	227	34	520	122	232	418	771	182	276	62	775	63	216	147	76	326	63	2	360	88	385	505	32	113	171	30	19	234	248	155	287	233	486	325	156	184	263	0	265	360	467	0	331	98	255	42	269	0	678	53	359	182	358
M02808:184:000000000-LYVHM:1:1109:12696:6159	52	14	115	13	85	0	16	11	26	29	22	19	16	21	3	63	83	7	34	35	5	9	42	3	14	10	0	136	21	72	15	99	0	42	20	33	16	64	22	18	52	14	11	78	74	14	15	0	36	60	24	10	6	15	19	48	6	16	20	15	15	0	5	2	4	0	16	0	28	0	5	0	13	0	13	0	6	0	8	0	35	0	3
M02808:184:000000000-LYVHM:1:2114:2889:20608	80	204	32	522	99	82	53	452	33	351	336	89	162	131	69	51	70	304	47	47	307	47	66	328	53	33	176	71	315	55	308	60	114	145	73	34	137	0	224	75	70	61	212	50	19	108	129	0	486	30	130	346	29	10	29	29	1	196	4	118	122	86	171	98	58	209	240	0	291	20	201	0	244	28	265	7	343	0	249	26	328	203	338
M02808:184:000000000-LYVHM:1:2103:19169:25788	178	363	67	609	3	426	187	664	204	254	498	167	334	213	633	0	66	442	135	367	754	111	10	433	31	198	196	246	479	199	713	213	408	361	405	29	445	68	358	0	633	68	189	58	0	293	238	0	591	88	221	586	48	253	324	87	38	473	61	266	361	0	208	505	122	307	253	0	345	154	400	0	350	181	456	25	466	0	408	300	529	549	584
M02808:184:000000000-LYVHM:1:1104:5864:24473	7	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	6	0	0	31	7	14	0	10	0	0	0	1	0	0	0	0	0	4	0	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	1	0	5	14	0	0	0	0	0	5	42	41	9	0	0	0	16	2	0	4	0	0	0	33	0	3	0
M02808:184:000000000-LYVHM:1:1110:8948:22936	30	106	27	10	22	14	115	195	33	100	92	51	96	101	204	28	65	113	39	45	71	25	28	50	44	11	56	79	43	32	122	65	82	96	72	24	53	1	100	232	40	21	128	35	89	27	148	0	33	37	60	52	60	95	77	21	3	69	71	5	127	19	81	101	64	42	54	82	46	79	41	45	64	25	43	19	85	2	102	168	184	20	116
M02808:184:000000000-LYVHM:1:1108:14591:11287	26	65	0	36	0	39	16	82	27	44	26	49	81	108	84	6	0	40	25	9	119	27	27	32	24	8	82	10	39	7	157	22	25	43	114	11	111	12	48	20	181	8	72	0	0	42	1	1	195	13	82	56	12	35	58	0	0	89	0	50	198	0	13	30	13	18	28	0	139	0	30	0	60	0	73	0	29	0	81	2	73	28	80
M02808:184:000000000-LYVHM:1:2104:18425:14356	30	104	65	91	42	93	28	85	90	75	82	157	86	125	98	11	112	88	191	54	82	119	224	49	309	75	32	253	59	253	108	417	132	161	65	269	52	449	98	315	115	511	138	165	86	73	183	0	97	360	139	74	257	135	99	57	2	87	56	89	50	32	111	87	108	41	91	23	139	0	82	0	97	0	71	26	41	0	89	21	81	56	58
M02808:184:000000000-LYVHM:1:1112:10781:20854	60	30	16	12	5	45	14	6	18	22	15	0	53	7	43	0	17	25	4	9	41	7	13	56	0	5	36	30	22	16	34	13	30	56	29	23	39	50	13	8	37	0	41	5	19	35	1	0	96	5	28	14	4	20	58	0	2	38	5	35	32	4	20	29	0	4	27	0	62	0	23	0	44	0	22	0	26	0	50	0	43	14	40
M02808:184:000000000-LYVHM:1:1108:12454:16502	14	0	3	0	7	1	2	0	6	0	0	0	0	3	0	5	2	4	8	25	0	21	21	0	2	0	1	0	0	2	1	21	0	3	1	11	2	19	0	1	0	3	0	0	1	0	5	0	0	5	2	0	2	0	0	0	0	0	0	0	2	0	3	1	5	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0
M02808:184:000000000-LYVHM:1:1104:7994:20522	162	10	283	21	404	27	55	16	96	39	113	406	18	36	13	45	16	16	121	194	9	26	72	3	47	6	17	0	19	1	30	20	24	3	6	0	5	1	9	44	37	2	15	0	11	19	0	0	24	1	5	20	0	6	2	7	0	17	0	17	8	1	10	17	0	5	11	0	8	0	11	0	8	0	17	0	4	0	7	0	18	1	5
M02808:184:000000000-LYVHM:1:1104:14809:20502	20	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	15	0	0	0	0	13	6	0	0	6	0	0	0	0	0	0	34	0	0	0	4	0	0	0	32	12	0	4	0	19	17	0	0	5	0	0	0	0	0	5	0	0	0	0	65	0	0	0	0	4	0	0	0	0	63	0	0	0	0	0	15	0	28	0	0	3	5
M02808:184:000000000-LYVHM:1:1112:13266:26343	5	0	0	0	2	0	0	5	0	0	0	0	14	0	6	0	0	0	1	7	2	6	0	0	2	0	0	0	0	0	2	2	1	3	3	1	0	3	5	5	0	1	5	0	0	2	0	2	3	4	7	0	0	0	0	0	0	0	0	16	3	5	0	0	0	3	5	0	3	0	19	0	0	0	0	0	0	0	0	0	0	0	2
M02808:184:000000000-LYVHM:1:2108:15277:13521	11	1	0	0	3	0	0	0	0	0	0	4	0	1	0	0	0	0	0	8	0	0	0	0	1	0	0	5	0	2	2	3	0	2	2	1	0	0	0	0	0	2	0	2	0	0	1	0	7	3	2	0	2	0	0	0	0	0	11	0	0	0	5	4	3	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1102:14791:8603	280	41	475	40	338	35	65	30	261	50	53	117	56	61	72	172	366	113	369	699	34	304	457	48	162	39	90	293	39	219	62	259	24	141	21	145	74	331	49	184	41	201	31	132	134	29	91	0	60	239	92	39	280	54	66	33	1	33	53	50	11	51	64	43	37	21	35	3	62	0	68	0	28	3	21	26	45	0	33	8	76	19	25
M02808:184:000000000-LYVHM:1:1101:17018:10033	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1112:5736:9687	64	1120	148	1629	187	1793	948	1223	698	1490	834	181	1004	840	1316	431	129	1143	438	373	1630	190	338	1274	332	360	706	361	609	624	718	383	1218	617	1017	66	1392	116	817	402	1445	865	1269	99	40	845	288	11	1396	134	715	922	267	504	931	162	37	834	423	909	1356	77	407	1642	553	866	952	130	1591	483	1200	766	1473	184	1063	32	1075	3	1148	317	876	716	835
M02808:184:000000000-LYVHM:1:1114:15057:24812	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1111:18867:8540	52	24	112	11	59	57	30	79	108	53	42	27	43	23	77	61	168	31	66	161	35	53	97	41	59	14	85	109	60	90	41	71	12	55	23	63	23	48	67	37	5	53	3	120	47	49	24	4	61	67	56	36	66	31	56	5	1	34	22	19	44	13	28	29	9	6	13	0	30	0	45	0	25	0	9	2	79	0	36	0	137	33	36
M02808:184:000000000-LYVHM:1:1110:26413:17150	55	0	0	37	0	49	45	5	68	25	49	7	43	109	71	0	51	0	12	65	86	18	96	64	22	14	9	55	0	0	0	23	7	75	0	51	71	69	18	30	20	115	24	0	19	69	0	1	0	43	81	61	18	25	11	28	0	71	20	17	30	41	62	15	13	34	31	0	24	0	44	0	23	5	127	19	33	0	16	47	24	32	21
M02808:184:000000000-LYVHM:1:1102:26228:14677	42	106	0	19	0	11	8	42	37	75	81	10	74	31	102	0	11	58	7	44	151	0	2	92	0	7	63	45	12	22	46	15	18	158	13	6	246	0	69	0	26	0	49	4	0	79	25	0	53	0	103	128	0	23	60	22	0	195	7	9	64	0	33	20	0	34	33	0	75	0	38	0	37	22	119	0	157	0	34	0	58	44	58
M02808:184:000000000-LYVHM:1:1109:7327:13009	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1112:4018:13665	85	666	136	416	75	409	311	553	109	380	344	243	335	263	459	88	287	219	175	43	409	166	152	424	145	151	254	205	378	261	908	258	743	422	719	168	653	243	370	221	580	72	472	122	170	425	131	8	858	58	348	280	64	314	354	223	10	165	69	92	473	152	276	221	85	139	348	0	607	262	493	0	485	45	243	64	503	2	489	122	355	279	358
M02808:184:000000000-LYVHM:1:1113:17309:3204	6	0	0	11	0	0	0	0	0	0	0	0	0	31	33	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	10	28	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	3	29	0	0	62	9	0	66	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1103:6044:22761	16	0	9	0	3	0	3	1	12	0	0	0	0	0	0	0	0	12	3	0	0	30	7	0	2	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	9	0	0	6	1	7	0	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M02808:184:000000000-LYVHM:1:1102:24298:22709	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2102:16172:19722	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	10	2	3	11	0	0	12	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	4	0	0	0	0	0	0	0	0	1	5	0	0	0	7	0	0
M02808:184:000000000-LYVHM:1:1112:6966:7324	9	0	0	0	0	0	1	0	0	14	0	33	0	0	0	0	1	0	11	20	0	0	0	0	9	0	0	17	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	25	0	0	0	11	2	5	0	3	3	0	0	0	0	0	0	46	0	0	5	0	0	4	0	0	0	0	0	0	5
M02808:184:000000000-LYVHM:1:2102:12751:25137	9	62	5	115	0	43	134	153	70	26	224	111	41	221	115	12	2	118	6	0	138	35	60	79	83	39	84	3	164	0	77	0	145	0	131	31	112	5	151	0	65	11	74	0	2	78	4	0	314	7	110	148	1	80	22	0	0	126	0	125	95	0	74	0	0	27	133	0	15	0	132	0	129	0	66	0	25	0	232	0	91	7	152
M02808:184:000000000-LYVHM:1:1104:14574:13689	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	8	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2112:15426:25376	8	0	0	12	0	0	0	5	8	44	19	4	0	0	0	0	25	27	2	7	0	0	0	1	0	0	0	3	0	0	55	3	36	3	0	4	0	0	0	22	0	3	31	14	0	0	1	0	0	5	0	42	0	0	5	5	0	13	7	0	0	22	0	0	4	4	15	0	47	0	9	0	16	3	13	17	0	0	0	9	26	7	14
M02808:184:000000000-LYVHM:1:2112:4718:20490	21	119	2	117	21	18	18	60	46	30	178	8	72	15	116	59	87	97	104	11	218	29	46	7	36	21	134	73	80	57	61	27	285	31	124	32	84	0	37	256	194	41	166	50	61	117	92	0	158	29	61	135	19	114	140	21	3	237	75	161	134	56	30	80	91	73	86	100	260	22	163	54	267	3	59	15	38	0	155	168	215	39	138
M02808:184:000000000-LYVHM:1:1104:23798:22121	1	0	4	0	0	0	0	0	0	0	1	0	0	1	3	4	1	0	1	2	0	0	3	2	4	0	0	2	0	3	1	0	2	4	1	2	1	7	0	4	1	0	5	2	0	0	0	0	0	2	0	1	0	1	0	3	0	1	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M02808:184:000000000-LYVHM:1:2108:22860:6447	21	0	0	27	0	14	21	56	0	40	6	12	0	16	14	8	10	0	20	3	13	2	2	4	23	15	0	5	11	57	17	14	8	40	8	0	27	6	27	0	0	7	17	8	9	0	0	0	36	13	6	0	8	13	0	3	0	0	4	8	5	12	4	9	19	5	9	4	8	1	0	0	18	0	14	2	0	0	22	0	16	40	17
M02808:184:000000000-LYVHM:1:1110:17102:25225	39	218	94	92	0	339	226	483	146	202	17	0	127	180	309	38	1	216	51	135	149	54	0	355	36	57	216	258	343	56	248	193	133	206	312	0	183	0	281	0	259	43	230	11	74	221	102	0	277	2	142	110	54	284	512	0	6	201	65	78	272	45	231	224	58	133	162	15	66	0	36	0	62	69	226	0	147	0	86	147	142	104	161
M02808:184:000000000-LYVHM:1:1113:3951:14138	11	12	22	11	11	4	4	3	17	2	16	2	9	2	13	10	28	21	44	121	2	10	21	10	7	3	18	19	5	12	11	29	6	11	0	6	20	6	3	4	5	11	8	1	6	4	4	1	8	10	6	7	7	3	11	2	0	8	1	11	2	2	10	4	2	0	3	0	3	0	3	0	5	0	5	0	3	0	6	0	12	0	7
M02808:184:000000000-LYVHM:1:1112:21963:18961	38	72	6	156	34	117	33	149	81	110	86	0	178	86	53	6	0	120	87	4	213	32	129	31	44	14	39	83	81	0	112	144	110	39	138	294	99	35	145	40	145	14	42	0	5	127	9	0	125	20	32	118	7	167	38	6	0	34	0	50	138	0	45	122	0	14	41	0	84	0	109	0	46	0	57	0	60	0	110	5	98	77	73
M02808:184:000000000-LYVHM:1:2107:6959:14285	17	0	0	12	0	29	18	63	5	18	0	0	0	0	76	0	0	14	0	0	20	0	0	15	3	7	0	65	0	0	0	5	0	0	0	0	69	0	27	0	52	2	0	0	0	0	0	0	0	11	8	3	0	0	11	0	0	1	0	0	0	0	0	0	0	0	7	0	44	0	0	0	0	0	0	0	0	0	23	17	15	0	14
M02808:184:000000000-LYVHM:1:1108:21196:21749	2	87	0	222	0	6	84	53	12	32	14	0	3	39	124	0	0	94	25	0	27	0	0	110	0	21	38	0	51	0	88	0	0	52	17	0	35	0	0	0	89	0	25	11	0	117	0	0	40	0	49	60	0	14	125	0	1	118	0	0	44	0	30	22	7	85	55	0	51	0	6	0	34	15	7	0	107	0	28	0	8	129	58
M02808:184:000000000-LYVHM:1:2111:19997:22934	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1114:9290:24103	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2111:16011:11378	14	10	42	6	4	11	16	20	6	9	9	23	8	19	23	17	38	20	19	71	20	25	38	11	10	0	18	16	8	33	11	10	3	21	30	20	24	84	30	7	105	11	33	3	42	42	7	0	38	32	11	49	11	10	13	12	0	26	17	0	23	5	10	23	23	5	16	0	18	1	24	2	9	1	8	1	4	0	11	0	0	2	4
M02808:184:000000000-LYVHM:1:2111:21239:25363	6	1	14	23	48	17	10	8	54	5	8	9	14	11	19	3	33	32	47	42	19	13	33	5	8	4	7	7	0	17	20	12	3	19	10	16	12	10	6	4	4	13	3	2	7	20	17	0	26	22	14	12	1	9	5	0	0	0	0	6	0	2	25	5	0	2	14	0	37	0	4	0	28	0	1	2	32	0	11	0	17	10	3
M02808:184:000000000-LYVHM:1:1102:21599:6824	19	28	0	0	5	0	83	44	0	1	23	0	1	0	0	0	18	18	0	0	75	30	11	0	1	0	15	0	0	7	27	5	27	13	0	9	0	78	55	0	168	17	0	0	0	7	0	0	16	3	10	70	1	11	59	27	0	32	0	0	68	0	43	16	0	20	0	0	31	0	0	0	0	19	61	13	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2112:15856:9316	10	5	13	2	16	2	7	6	24	4	5	2	1	4	8	2	8	11	16	13	2	8	16	5	6	5	8	8	0	4	1	14	9	3	2	6	14	45	4	2	16	2	1	4	12	1	0	0	12	0	5	5	4	2	12	3	0	1	0	5	5	5	4	1	0	5	5	0	9	0	4	0	3	0	2	0	0	0	3	0	10	4	1
M02808:184:000000000-LYVHM:1:2101:27936:12761	50	0	0	0	0	14	0	0	2	0	0	0	0	0	0	0	27	12	0	0	0	0	0	18	0	0	0	0	0	0	0	0	48	0	50	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	82	5	0	0	0	42	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2101:16382:7875	30	20	62	63	130	22	19	102	43	11	46	33	50	608	88	141	31	40	61	28	30	55	33	67	80	55	18	62	0	31	51	15	61	18	20	34	43	0	72	27	11	91	36	43	2	25	59	0	24	24	65	12	0	29	71	160	0	57	45	38	0	41	19	50	0	25	16	0	0	382	41	0	78	13	5	0	0	0	13	7	20	17	13
M02808:184:000000000-LYVHM:1:2107:7089:9923	1	14	0	0	0	0	0	0	1	0	2	0	0	0	0	0	23	1	0	0	0	3	0	0	0	0	0	4	1	0	0	1	0	1	0	0	14	0	0	0	0	1	1	2	14	0	0	0	0	4	3	0	0	0	4	5	3	0	2	0	0	8	1	0	3	16	0	0	7	48	0	0	0	6	0	9	0	0	0	4	0	3	0
M02808:184:000000000-LYVHM:1:2111:14760:14404	5	0	0	0	0	0	0	0	9	0	0	1	0	2	0	0	14	0	0	19	0	3	18	0	2	1	0	4	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	7	4	0	0	0	0	0	0	8	0	0	0	7	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	0	0	0
M02808:184:000000000-LYVHM:1:1105:24855:15331	87	226	17	236	62	211	198	652	148	427	497	211	389	173	477	0	137	363	220	343	356	104	88	347	242	84	362	438	362	205	415	281	374	292	604	71	660	117	264	338	634	263	510	209	173	254	162	1	462	88	312	460	284	370	723	145	9	259	216	319	433	65	641	269	409	327	259	0	322	335	405	165	500	68	370	25	318	4	308	170	355	237	272
