#OTU ID	SF1_B1_T0_R1_001.fastq	SF1_B1_T0_Root_R1_001.fastq	SF1_B1_T4_R1_001.fastq	SF1_B1_T4_Root_R1_001.fastq	SF1_B2_T0_R1_001.fastq	SF1_B2_T0_Root_R1_001.fastq	SF1_B2_T4_R1_001.fastq	SF1_B2_T4_Root_R1_001.fastq	SF1_B3_T0_R1_001.fastq	SF1_B3_T0_Root_R1_001.fastq	SF1_B3_T4_Root_R1_001.fastq	SF1_B4_T0_R1_001.fastq	SF1_B4_T0_Root_R1_001.fastq	SF1_B4_T4_R1_001.fastq	SF1_B4_T4_Root_R1_001.fastq	SF2_B1_T0_R1_001.fastq	SF2_B1_T4_R1_001.fastq	SF2_B1_T4_Root_R1_001.fastq	SF2_B2_T0_R1_001.fastq	SF2_B2_T4_R1_001.fastq	SF2_B2_T4_Root_R1_001.fastq	SF2_B3_T0_R1_001.fastq	SF2_B3_T4_R1_001.fastq	SF2_B3_T4_Root_R1_001.fastq	SF2_B4_T0_R1_001.fastq	SF2_B4_T4_R1_001.fastq	SF2_B4_T4_Root_R1_001.fastq	SF3_B1_T0_R1_001.fastq	SF3_B1_T0_Root_R1_001.fastq	SF3_B1_T4_R1_001.fastq	SF3_B1_T4_Root_R1_001.fastq	SF3_B2_T0_R1_001.fastq	SF3_B2_T0_Root_R1_001.fastq	SF3_B2_T4_R1_001.fastq	SF3_B2_T4_Root_R1_001.fastq	SF3_B3_T0_R1_001.fastq	SF3_B3_T0_Root_R1_001.fastq	SF3_B3_T4_R1_001.fastq	SF3_B3_T4_Root_R1_001.fastq	SF3_B4_T0_R1_001.fastq	SF3_B4_T0_Root_R1_001.fastq	SF3_B4_T4_R1_001.fastq	SF3_B4_T4_Root_R1_001.fastq	SF4_B1_T0_R1_001.fastq	SF4_B1_T4_R1_001.fastq	SF4_B1_T4_Root_R1_001.fastq	SF4_B2_T0_R1_001.fastq	SF4_B2_T4_R1_001.fastq	SF4_B2_T4_Root_R1_001.fastq	SF4_B3_T0_R1_001.fastq	SF4_B3_T4_R1_001.fastq	SF4_B3_T4_Root_R1_001.fastq	Sf4_B4_T0_R1_001.fastq	SF4_B4_T4_R1_001.fastq	SF4_B4_T4_Root_R1_001.fastq	SF6_B1_T0_R1_001.fastq	SF6_B1_T4_R1_001.fastq	SF6_B1_T4_Root_R1_001.fastq	SF6_B2_T0_R1_001.fastq	SF6_B2_T4_R1_001.fastq	SF6_B2_T4_Root_R1_001.fastq	SF6_B3_T0_R1_001.fastq	SF6_B3_T4_R1_001.fastq	SF6_B3_T4_Root_R1_001.fastq	SF6_B4_T0_R1_001.fastq	SF6_B4_T4_R1_001.fastq	SF6_B4_T4_Root_R1_001.fastq	SF8_B1_T0_R1_001.fastq	SF8_B1_T0_Root_R1_001.fastq	SF8_B1_T4_R1_001.fastq	SF8_B1_T4_Root_R1_001.fastq	SF8_B2_T0_R1_001.fastq	SF8_B2_T0_Root_R1_001.fastq	SF8_B2_T4_R1_001.fastq	SF8_B2_T4_Root_R1_001.fastq	SF8_B3_T0_R1_001.fastq	SF8_B3_T0_Root_R1_001.fastq	SF8_B3_T4_R1_001.fastq	SF8_B3_T4_Root_R1_001.fastq	SF8_B4_T0_R1_001.fastq	SF8_B4_T0_Root_R1_001.fastq	SF8_B4_T4_R1_001.fastq	SF8_B4_T4_Root_R1_001.fastq
M02808:184:000000000-LYVHM:1:1101:11571:18617	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2102:9353:11362	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2106:6693:15898	0	0	0	0	5	0	0	0	10	0	0	1	0	1	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1108:17610:22269	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2106:14053:17966	0	0	0	0	2	1	1	0	4	0	0	1	0	2	0	0	0	0	0	0	0	6	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
M02808:184:000000000-LYVHM:1:1112:8371:3546	0	0	0	0	7	0	0	0	12	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2109:14214:17165	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2109:13468:8618	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2112:26348:11995	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
M02808:184:000000000-LYVHM:1:1109:23401:15561	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2112:16870:7671	0	0	0	0	1	0	7	0	0	0	0	20	0	13	0	0	0	0	3	19	0	0	30	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M02808:184:000000000-LYVHM:1:1101:16526:13539	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
